pod,metric,similarity,causality,best_lag,volatility,root_score
redis-cart-6f887989c8-s4r67,cpu_usage,0.3697,0.9874,3,0.0556,0.5231
redis-cart-6f887989c8-s4r67,memory_usage,0.3677,0.9872,3,0.0528,0.5215
redis-cart-6f887989c8-s4r67,network_receive_errors,0.3669,0.9874,3,0.0528,0.5213
redis-cart-6f887989c8-s4r67,memory_rss,0.3651,0.9873,3,0.0556,0.521
redis-cart-6f887989c8-s4r67,network_transmit_errors,0.3652,0.9872,3,0.0528,0.5204
checkoutservice-5fcbc94d48-c8mxz,network_receive_errors,0.3587,0.9692,3,0.0472,0.5101
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.3564,0.9692,3,0.05,0.5096
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.3554,0.9699,3,0.0472,0.5088
checkoutservice-5fcbc94d48-c8mxz,network_transmit_errors,0.3525,0.966,3,0.0583,0.5084
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.3522,0.9681,3,0.0556,0.5084
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.3541,0.969,4,0.0444,0.5074
cartservice-77f8cfdff-4gflb,cpu_usage,0.2694,0.5816,1,0.0694,0.3387
cartservice-77f8cfdff-4gflb,memory_working_set,0.2687,0.5785,1,0.0722,0.3378
cartservice-77f8cfdff-4gflb,memory_usage,0.2704,0.5835,1,0.0583,0.3376
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.2671,0.5789,1,0.0722,0.3373
cartservice-77f8cfdff-4gflb,network_receive_errors,0.2688,0.5797,1,0.0667,0.3372
cartservice-77f8cfdff-4gflb,network_transmit_errors,0.2667,0.5831,1,0.0611,0.3363
emailservice-5c4564f4db-c9pjv,network_receive_errors,0.1143,0.2433,5,0.0444,0.1455
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0994,0.1958,5,0.0417,0.1216
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.1004,0.1781,5,0.05,0.1175
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.0954,0.1812,5,0.0417,0.1147
frontend-fc6b4bb46-wwx7m,memory_working_set,0.0926,0.179,5,0.0389,0.1121
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.0915,0.1697,5,0.05,0.1106
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.0911,0.1793,5,0.0333,0.1104
paymentservice-858d7c66fd-pwd9m,memory_usage,0.0905,0.1747,4,0.0389,0.1096
emailservice-5c4564f4db-c9pjv,memory_usage,0.0918,0.1653,5,0.05,0.1092
shippingservice-3f4d5e6f78-hj2kx,cpu_usage,0.0891,0.1723,5,0.0417,0.1087
currencyservice-7c5c4ccd64-8zv72,network_transmit_errors,0.0917,0.1662,5,0.0389,0.1072
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.0941,0.1642,2,0.0361,0.107
frontend-fc6b4bb46-wwx7m,cpu_usage,0.091,0.1594,5,0.05,0.1067
recommendationservice-9c8dd7cd6-f6x7c,network_receive_errors,0.0885,0.1602,5,0.0528,0.1064
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.0926,0.1605,5,0.0389,0.1056
recommendationservice-9c8dd7cd6-f6x7c,network_transmit_errors,0.0922,0.1561,3,0.0389,0.1039
emailservice-5c4564f4db-c9pjv,cpu_usage,0.085,0.1613,5,0.0389,0.1025
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.0883,0.1553,4,0.0389,0.1019
adservice-7c8b9f944-b7rfw,memory_usage,0.0861,0.148,4,0.0556,0.1016
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.0902,0.1595,5,0.025,0.1014
adservice-7c8b9f944-b7rfw,network_receive_errors,0.0909,0.1511,3,0.0361,0.101
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.0921,0.1521,5,0.0306,0.1008
shippingservice-3f4d5e6f78-hj2kx,memory_usage,0.0941,0.1471,3,0.0333,0.1005
productcatalogservice-59867cb94d-gjfzt,network_receive_errors,0.0803,0.1455,5,0.0556,0.0982
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.0863,0.1416,5,0.0333,0.095
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.0818,0.136,5,0.0528,0.095
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.0848,0.142,5,0.0306,0.094
paymentservice-858d7c66fd-pwd9m,network_receive_errors,0.0834,0.1344,4,0.0417,0.0929
emailservice-5c4564f4db-c9pjv,network_transmit_errors,0.0805,0.1428,5,0.0306,0.0923
shippingservice-3f4d5e6f78-hj2kx,network_receive_errors,0.075,0.1337,5,0.05,0.0906
adservice-7c8b9f944-b7rfw,memory_working_set,0.0826,0.126,5,0.0444,0.0902
adservice-7c8b9f944-b7rfw,network_transmit_errors,0.0791,0.1264,4,0.05,0.0898
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.0833,0.1316,1,0.0278,0.0891
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.0815,0.1249,5,0.0417,0.0887
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.0737,0.1275,5,0.0472,0.0872
adservice-7c8b9f944-b7rfw,cpu_usage,0.0753,0.1236,5,0.0417,0.0855
frontend-fc6b4bb46-wwx7m,network_receive_errors,0.0798,0.1156,4,0.0417,0.0847
frontend-fc6b4bb46-wwx7m,network_transmit_errors,0.0738,0.1098,5,0.0583,0.0833
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0719,0.1202,5,0.0306,0.0805
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0755,0.1116,2,0.0333,0.0797
frontend-fc6b4bb46-wwx7m,memory_usage,0.0715,0.1094,5,0.0417,0.0788
paymentservice-858d7c66fd-pwd9m,network_transmit_errors,0.0732,0.1017,5,0.0444,0.0774
currencyservice-7c5c4ccd64-8zv72,network_receive_errors,0.0696,0.1005,5,0.05,0.0765
shippingservice-3f4d5e6f78-hj2kx,network_transmit_errors,0.0666,0.0936,5,0.0472,0.0722
shippingservice-3f4d5e6f78-hj2kx,memory_working_set,0.0626,0.0939,5,0.0389,0.0688
shippingservice-3f4d5e6f78-hj2kx,cpu_throttle_ratio,0.0661,0.0847,4,0.0444,0.0683
productcatalogservice-59867cb94d-gjfzt,network_transmit_errors,0.0695,0.0672,1,0.0444,0.0637
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.0619,0.0742,3,0.0333,0.0605
