pod,metric,similarity,causality,best_lag,volatility,root_score
recommendationservice-9c8dd7cd6-f6x7c,network_receive_errors,0.3699,0.9922,2,0.0556,0.5248
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.3723,0.9902,1,0.0528,0.5247
productcatalogservice-59867cb94d-gjfzt,network_transmit_errors,0.3708,0.9902,1,0.0556,0.5245
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.3691,0.9925,2,0.0556,0.5245
recommendationservice-9c8dd7cd6-f6x7c,network_transmit_errors,0.3682,0.9922,2,0.0556,0.5241
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.3691,0.9924,2,0.0528,0.524
productcatalogservice-59867cb94d-gjfzt,network_receive_errors,0.3694,0.9902,1,0.0556,0.5239
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.3665,0.9918,2,0.0556,0.5232
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.3663,0.9922,2,0.0528,0.5227
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.3667,0.9902,1,0.0528,0.5222
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.3646,0.9901,1,0.0556,0.5217
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.3656,0.9902,1,0.05,0.5211
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.3639,0.9851,3,0.0611,0.5208
frontend-fc6b4bb46-wwx7m,cpu_usage,0.3612,0.9858,3,0.05,0.5176
frontend-fc6b4bb46-wwx7m,memory_usage,0.3563,0.9877,2,0.0556,0.5171
frontend-fc6b4bb46-wwx7m,network_transmit_errors,0.3597,0.9863,3,0.05,0.517
frontend-fc6b4bb46-wwx7m,network_receive_errors,0.3606,0.9847,2,0.05,0.5169
frontend-fc6b4bb46-wwx7m,memory_working_set,0.3579,0.9849,2,0.0417,0.5141
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.2632,0.549,1,0.0667,0.3239
