pod,metric,similarity,causality,best_lag,volatility,root_score
frontend-fc6b4bb46-wwx7m,memory_working_set,0.3762,0.9885,5,0.025,0.5203
frontend-fc6b4bb46-wwx7m,network_receive_errors,0.3758,0.9886,5,0.025,0.5201
frontend-fc6b4bb46-wwx7m,cpu_usage,0.3754,0.9883,5,0.025,0.5199
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.3761,0.9884,5,0.0222,0.5196
frontend-fc6b4bb46-wwx7m,memory_usage,0.3742,0.9884,5,0.025,0.5193
frontend-fc6b4bb46-wwx7m,network_transmit_errors,0.3734,0.9884,5,0.0222,0.5184
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.3539,0.9685,1,0.075,0.5132
cartservice-77f8cfdff-4gflb,memory_working_set,0.3535,0.9681,1,0.075,0.5129
checkoutservice-5fcbc94d48-c8mxz,network_receive_errors,0.3523,0.9677,1,0.075,0.5122
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.3518,0.9678,1,0.075,0.512
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.3515,0.968,1,0.075,0.512
cartservice-77f8cfdff-4gflb,network_transmit_errors,0.3501,0.9679,1,0.0778,0.5119
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.3504,0.9676,1,0.075,0.5113
cartservice-77f8cfdff-4gflb,cpu_usage,0.3499,0.9679,1,0.075,0.5112
cartservice-77f8cfdff-4gflb,memory_usage,0.3472,0.9677,1,0.0778,0.5105
cartservice-77f8cfdff-4gflb,network_receive_errors,0.348,0.9681,1,0.075,0.5104
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.3479,0.9676,1,0.075,0.5102
checkoutservice-5fcbc94d48-c8mxz,network_transmit_errors,0.3458,0.9673,1,0.075,0.5092
emailservice-5c4564f4db-c9pjv,network_receive_errors,0.0945,0.192,5,0.0333,0.1164
currencyservice-7c5c4ccd64-8zv72,network_transmit_errors,0.0903,0.1746,5,0.0472,0.1112
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.0919,0.1763,5,0.0389,0.1109
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.0922,0.1735,5,0.0306,0.1083
paymentservice-858d7c66fd-pwd9m,network_receive_errors,0.0909,0.1665,5,0.0333,0.1059
shippingservice-3f4d5e6f78-hj2kx,memory_usage,0.088,0.1646,5,0.0417,0.1055
recommendationservice-9c8dd7cd6-f6x7c,network_receive_errors,0.0851,0.1614,5,0.05,0.1048
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.0853,0.1576,5,0.0389,0.1013
productcatalogservice-59867cb94d-gjfzt,network_transmit_errors,0.0877,0.1569,5,0.0278,0.0999
adservice-7c8b9f944-b7rfw,memory_usage,0.0882,0.1432,5,0.0306,0.0959
shippingservice-3f4d5e6f78-hj2kx,network_transmit_errors,0.0813,0.1424,5,0.0417,0.0947
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0755,0.1447,5,0.05,0.0946
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.0793,0.1303,5,0.0472,0.0907
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.0738,0.1284,5,0.0417,0.0865
redis-cart-6f887989c8-s4r67,memory_rss,0.0747,0.1277,5,0.0389,0.0861
productcatalogservice-59867cb94d-gjfzt,network_receive_errors,0.0697,0.1181,5,0.0472,0.0821
shippingservice-3f4d5e6f78-hj2kx,cpu_usage,0.0721,0.1131,3,0.0417,0.0804
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.0724,0.1048,5,0.05,0.0793
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.0669,0.1224,5,0.0278,0.0785
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0715,0.1052,4,0.0472,0.0784
recommendationservice-9c8dd7cd6-f6x7c,network_transmit_errors,0.0709,0.1047,4,0.0444,0.0774
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.0651,0.1072,5,0.0306,0.0729
emailservice-5c4564f4db-c9pjv,cpu_usage,0.0677,0.0986,5,0.0389,0.0728
shippingservice-3f4d5e6f78-hj2kx,network_receive_errors,0.0612,0.0979,5,0.0417,0.0702
redis-cart-6f887989c8-s4r67,network_transmit_errors,0.065,0.0981,5,0.0306,0.0697
redis-cart-6f887989c8-s4r67,network_receive_errors,0.0635,0.0966,5,0.0361,0.0696
shippingservice-3f4d5e6f78-hj2kx,memory_working_set,0.0644,0.088,5,0.0417,0.0681
adservice-7c8b9f944-b7rfw,network_receive_errors,0.0674,0.0837,5,0.0417,0.068
paymentservice-858d7c66fd-pwd9m,network_transmit_errors,0.0633,0.0922,5,0.0361,0.068
paymentservice-858d7c66fd-pwd9m,memory_usage,0.0673,0.0836,5,0.0389,0.0673
currencyservice-7c5c4ccd64-8zv72,network_receive_errors,0.065,0.086,5,0.0389,0.0671
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.0639,0.0869,5,0.0361,0.0664
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.0563,0.0848,5,0.0472,0.0645
emailservice-5c4564f4db-c9pjv,network_transmit_errors,0.0644,0.0792,5,0.0389,0.0645
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.0601,0.0792,5,0.0444,0.0637
adservice-7c8b9f944-b7rfw,cpu_usage,0.0624,0.0742,5,0.0417,0.0624
adservice-7c8b9f944-b7rfw,network_transmit_errors,0.062,0.0818,5,0.0278,0.0621
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.0546,0.0725,5,0.0417,0.0583
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.0575,0.0574,5,0.0528,0.0565
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.0532,0.0577,5,0.0444,0.053
emailservice-5c4564f4db-c9pjv,memory_usage,0.0501,0.0521,5,0.05,0.0508
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.0498,0.0378,5,0.0417,0.044
adservice-7c8b9f944-b7rfw,memory_working_set,0.0419,0.0536,5,0.025,0.0426
redis-cart-6f887989c8-s4r67,memory_usage,0.0426,0.0403,5,0.0361,0.0405
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0454,0.0211,4,0.0333,0.0345
shippingservice-3f4d5e6f78-hj2kx,cpu_throttle_ratio,0.0395,0.0242,5,0.0417,0.0345
