pod,metric,similarity,causality,best_lag,volatility,root_score
redis-cart-6f887989c8-s4r67,network_transmit_errors,0.3678,0.9838,3,0.0528,0.5204
redis-cart-6f887989c8-s4r67,memory_usage,0.3687,0.9838,3,0.05,0.5202
redis-cart-6f887989c8-s4r67,memory_rss,0.3657,0.9837,3,0.0556,0.52
redis-cart-6f887989c8-s4r67,network_receive_errors,0.3633,0.9839,3,0.0556,0.5189
redis-cart-6f887989c8-s4r67,cpu_usage,0.363,0.9835,3,0.0556,0.5187
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.297,0.7502,1,0.0639,0.409
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.2966,0.7477,1,0.0667,0.4085
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.2947,0.7414,1,0.0722,0.4066
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.2917,0.7412,1,0.0722,0.4051
checkoutservice-5fcbc94d48-c8mxz,network_receive_errors,0.2929,0.7387,1,0.0722,0.4048
checkoutservice-5fcbc94d48-c8mxz,network_transmit_errors,0.2905,0.7396,1,0.0639,0.4023
frontend-fc6b4bb46-wwx7m,memory_working_set,0.2619,0.716,5,0.0472,0.3779
frontend-fc6b4bb46-wwx7m,cpu_usage,0.257,0.7036,5,0.0472,0.3713
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.2528,0.6895,5,0.0556,0.3662
frontend-fc6b4bb46-wwx7m,network_transmit_errors,0.2495,0.6972,5,0.0472,0.3657
frontend-fc6b4bb46-wwx7m,network_receive_errors,0.2503,0.6745,4,0.0528,0.3593
frontend-fc6b4bb46-wwx7m,memory_usage,0.2361,0.6444,5,0.0472,0.3412
cartservice-77f8cfdff-4gflb,network_receive_errors,0.2551,0.5098,1,0.0278,0.2988
cartservice-77f8cfdff-4gflb,memory_working_set,0.2568,0.508,1,0.0222,0.2978
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.2553,0.5052,1,0.0278,0.2972
cartservice-77f8cfdff-4gflb,cpu_usage,0.2552,0.5064,1,0.0194,0.296
cartservice-77f8cfdff-4gflb,network_transmit_errors,0.2545,0.507,1,0.0194,0.2958
cartservice-77f8cfdff-4gflb,memory_usage,0.2552,0.5056,1,0.0167,0.2951
shippingservice-3f4d5e6f78-hj2kx,memory_working_set,0.103,0.2261,5,0.0333,0.1322
currencyservice-7c5c4ccd64-8zv72,network_receive_errors,0.1034,0.2083,3,0.0444,0.1283
emailservice-5c4564f4db-c9pjv,memory_usage,0.1018,0.2074,5,0.0444,0.1273
shippingservice-3f4d5e6f78-hj2kx,cpu_throttle_ratio,0.1027,0.212,5,0.0306,0.1265
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.0976,0.1969,5,0.0389,0.1206
paymentservice-858d7c66fd-pwd9m,memory_usage,0.0986,0.1896,5,0.0417,0.1191
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.0936,0.1937,5,0.0361,0.1171
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0939,0.1902,5,0.0361,0.116
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.0919,0.1833,4,0.05,0.1155
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.0929,0.1806,5,0.0444,0.1139
adservice-7c8b9f944-b7rfw,cpu_usage,0.0932,0.1777,3,0.0472,0.1136
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0896,0.17,5,0.0278,0.1054
adservice-7c8b9f944-b7rfw,network_receive_errors,0.0902,0.1575,3,0.0361,0.103
