pod,metric,similarity,causality,best_lag,volatility,root_score
frontend-fc6b4bb46-wwx7m,network_receive_errors,0.3804,0.9829,5,0.0,0.5152
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.3804,0.9828,5,0.0,0.5151
frontend-fc6b4bb46-wwx7m,memory_usage,0.3786,0.9828,5,0.0,0.5143
frontend-fc6b4bb46-wwx7m,cpu_usage,0.3785,0.9829,5,0.0,0.5143
frontend-fc6b4bb46-wwx7m,memory_working_set,0.3777,0.9827,5,0.0,0.5139
frontend-fc6b4bb46-wwx7m,network_transmit_errors,0.3762,0.9827,5,0.0,0.5133
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.3184,0.8766,2,0.0528,0.4607
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.3142,0.8755,2,0.0528,0.4583
recommendationservice-9c8dd7cd6-f6x7c,network_receive_errors,0.3122,0.8746,3,0.0583,0.4583
recommendationservice-9c8dd7cd6-f6x7c,network_transmit_errors,0.3154,0.8783,1,0.0444,0.4582
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.3131,0.8697,2,0.0556,0.4564
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.3107,0.8638,1,0.0361,0.4494
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.3034,0.8374,1,0.0889,0.4474
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.3032,0.8371,1,0.0889,0.4472
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.3033,0.8375,1,0.0861,0.4468
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.3007,0.8372,1,0.0861,0.4455
checkoutservice-5fcbc94d48-c8mxz,network_receive_errors,0.2982,0.8372,1,0.0889,0.445
checkoutservice-5fcbc94d48-c8mxz,network_transmit_errors,0.2989,0.8368,1,0.0861,0.4446
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.2399,0.5057,1,0.0583,0.2966
productcatalogservice-59867cb94d-gjfzt,network_transmit_errors,0.2366,0.5006,1,0.0694,0.2956
productcatalogservice-59867cb94d-gjfzt,network_receive_errors,0.2367,0.5055,1,0.0583,0.2951
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.2346,0.4987,1,0.0639,0.2929
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.2381,0.4901,1,0.0667,0.292
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.2315,0.4908,1,0.0639,0.2887
paymentservice-858d7c66fd-pwd9m,network_transmit_errors,0.0844,0.1669,4,0.0444,0.1053
currencyservice-7c5c4ccd64-8zv72,network_receive_errors,0.0747,0.165,5,0.0333,0.098
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0764,0.1542,5,0.0444,0.0973
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.0767,0.1523,5,0.0389,0.0956
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0771,0.1357,5,0.0333,0.0889
currencyservice-7c5c4ccd64-8zv72,network_transmit_errors,0.0718,0.1377,5,0.0389,0.0883
cartservice-77f8cfdff-4gflb,memory_working_set,0.0689,0.1247,5,0.0472,0.0841
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.0656,0.1221,5,0.0472,0.0817
redis-cart-6f887989c8-s4r67,memory_rss,0.0692,0.1236,5,0.0361,0.0816
shippingservice-3f4d5e6f78-hj2kx,network_transmit_errors,0.0636,0.1214,5,0.0417,0.0795
emailservice-5c4564f4db-c9pjv,cpu_usage,0.063,0.112,5,0.0556,0.0787
redis-cart-6f887989c8-s4r67,cpu_usage,0.0649,0.1046,2,0.0556,0.0769
paymentservice-858d7c66fd-pwd9m,memory_usage,0.0615,0.1092,5,0.0472,0.0754
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.0622,0.111,2,0.0417,0.0752
shippingservice-3f4d5e6f78-hj2kx,memory_working_set,0.0603,0.1094,5,0.0444,0.0743
adservice-7c8b9f944-b7rfw,memory_usage,0.0606,0.104,5,0.0361,0.0709
adservice-7c8b9f944-b7rfw,network_transmit_errors,0.0645,0.0925,4,0.0389,0.0692
shippingservice-3f4d5e6f78-hj2kx,cpu_usage,0.0545,0.0896,5,0.0528,0.0664
adservice-7c8b9f944-b7rfw,network_receive_errors,0.0582,0.0978,5,0.0278,0.066
emailservice-5c4564f4db-c9pjv,network_receive_errors,0.0506,0.0768,5,0.05,0.0597
redis-cart-6f887989c8-s4r67,network_receive_errors,0.051,0.0839,4,0.0361,0.0596
emailservice-5c4564f4db-c9pjv,network_transmit_errors,0.0496,0.0805,5,0.0444,0.0594
emailservice-5c4564f4db-c9pjv,memory_usage,0.0568,0.0734,5,0.0333,0.0579
redis-cart-6f887989c8-s4r67,memory_usage,0.0552,0.0682,2,0.0389,0.0565
shippingservice-3f4d5e6f78-hj2kx,network_receive_errors,0.051,0.0763,4,0.0333,0.0563
cartservice-77f8cfdff-4gflb,network_receive_errors,0.0451,0.0704,5,0.0444,0.0538
shippingservice-3f4d5e6f78-hj2kx,memory_usage,0.0474,0.0657,4,0.0333,0.051
adservice-7c8b9f944-b7rfw,cpu_usage,0.0495,0.0595,5,0.0333,0.0497
redis-cart-6f887989c8-s4r67,network_transmit_errors,0.0469,0.0504,2,0.0444,0.0476
cartservice-77f8cfdff-4gflb,cpu_usage,0.0427,0.0457,3,0.0556,0.0463
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.039,0.0554,5,0.0389,0.0447
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.044,0.0454,5,0.0444,0.0446
adservice-7c8b9f944-b7rfw,memory_working_set,0.0459,0.0475,2,0.0333,0.044
paymentservice-858d7c66fd-pwd9m,network_receive_errors,0.039,0.0489,5,0.0417,0.043
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.0398,0.0453,4,0.0417,0.0421
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0411,0.0469,5,0.0361,0.0421
shippingservice-3f4d5e6f78-hj2kx,cpu_throttle_ratio,0.0386,0.0374,5,0.0444,0.0393
cartservice-77f8cfdff-4gflb,network_transmit_errors,0.0296,0.0206,2,0.0583,0.0322
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.0348,0.0093,1,0.0472,0.0284
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.0316,0.0214,5,0.0333,0.0283
cartservice-77f8cfdff-4gflb,memory_usage,0.0286,0.0174,5,0.0333,0.0256
