amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,31,0,0.96,2.051466500961035,0.25,0.45454545454545453,0.3225806451612903,5,15,6,20
9,27,0,0.96,1.8024458206839968,0.25,0.45454545454545453,0.3225806451612903,5,15,6,20
9,31,0,0.96,1.8999480018286101,0.25,0.45454545454545453,0.3225806451612903,5,15,6,20
11,31,0,0.96,2.0327235869552576,0.25,0.45454545454545453,0.3225806451612903,5,15,6,20
7,31,0,0.97,2.18081658508432,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
7,27,1,0.97,2.641461450519291,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
11,31,1,0.97,2.9802963446484743,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
3,31,1,0.97,2.317599027947756,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
3,31,0,0.97,2.2066155629276234,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
11,31,0,0.97,2.2560833238851297,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
7,31,1,0.97,2.722659729834775,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
5,27,1,0.97,2.409965557650609,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
9,27,1,0.97,2.431490898405729,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
5,27,0,0.97,1.917819111965347,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
5,31,1,0.97,2.4315464385520373,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
9,27,0,0.97,1.8777469429770923,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
3,27,1,0.97,2.171751613351535,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
9,31,0,0.97,2.145388462164945,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
3,27,0,0.97,1.9473511351476556,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
9,31,1,0.97,2.4862664664012004,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
5,31,0,0.97,2.0961612446271465,0.26666666666666666,0.36363636363636365,0.30769230769230765,4,11,7,15
7,31,0,0.94,1.6426382010977958,0.20689655172413793,0.5454545454545454,0.3,6,23,5,29
