amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,41,2,0,0.98,2.7911953293786844,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
9,31,2,0,0.98,2.3668725756173643,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
11,41,2,0,0.98,2.795065093067674,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
7,41,2,0,0.98,2.719649630727093,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
5,41,2,0,0.98,2.6673692354571683,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
21,41,2,0,0.98,3.1996127942357315,0.6,0.5454545454545454,0.5714285714285713,6,4,5,10
9,31,2,0,0.97,2.2405544045530483,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
9,41,2,0,0.97,2.3927581559586306,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
13,41,2,0,0.97,2.63481784019814,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
7,41,2,0,0.97,2.2187398956336417,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
5,41,2,0,0.97,2.404266409623291,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
17,41,2,0,0.97,2.8253867847563563,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
7,31,2,0,0.97,2.106258169725411,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,31,2,0,0.97,2.3502755848692916,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,41,2,0,0.97,2.5409685163081805,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
21,41,2,0,0.97,2.836389391899479,0.4666666666666667,0.6363636363636364,0.5384615384615385,7,8,4,15
11,31,2,0,0.98,2.5524818283772164,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,27,0,3,0.98,2.845068864692739,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,41,0,3,0.98,3.106573922077949,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,27,0,3,0.98,2.737794048859728,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,31,0,3,0.98,3.025693818350919,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,41,0,3,0.98,3.1461568576115124,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,2,0,0.98,2.8161737833698446,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,3,0.98,3.1448679771230816,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,27,0,3,0.98,2.9277128803315886,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,2,0,0.98,2.967753810687449,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,7,0.98,3.002898470071189,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,3,0.98,3.304315757712312,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
21,51,2,0,0.98,3.383329281347993,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,0,3,0.98,3.438048348696667,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,0,3,0.98,3.0251486008459834,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
17,31,2,0,0.98,3.005818239251404,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
5,51,0,7,0.98,2.8020051666639088,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
5,51,0,3,0.98,3.0180960020336727,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,31,0,3,0.98,3.021747567692188,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,2,0,0.98,3.0506667130376544,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,27,0,3,0.98,2.696245770071174,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,71,0,3,0.98,3.810450693250433,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,2,0,0.98,2.9449546631680734,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,31,0,3,0.98,2.985888929990608,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
17,41,2,0,0.98,3.174255050243204,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
17,41,0,3,0.98,3.6841505192232264,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
21,27,0,3,0.98,2.785106013713991,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
5,41,0,3,0.98,3.219732413919017,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
5,31,0,3,0.98,2.849572474464644,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
21,51,0,3,0.98,3.4438820296802657,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
