amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,27,0,0,zscore,0.97,0.3911790108742174,0.6,0.8181818181818182,0.6923076923076923,9,6,2,15
7,21,0,0,zscore,0.97,0.2581391442445901,0.6,0.8181818181818182,0.6923076923076923,9,6,2,15
9,21,0,0,zscore,0.97,0.32530509461387674,0.6,0.8181818181818182,0.6923076923076923,9,6,2,15
13,21,0,0,zscore,0.96,0.2911388216046121,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
9,31,0,0,zscore,0.96,0.30360684160576723,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
7,27,0,0,zscore,0.96,0.2142860280942004,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
7,21,0,0,zscore,0.96,0.19748227017869194,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
7,31,0,0,zscore,0.96,0.26147415237914257,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
9,21,0,0,zscore,0.96,0.2230386713104974,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
11,21,0,0,zscore,0.96,0.28231452582731886,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
9,27,0,0,zscore,0.96,0.2931578233609475,0.5,0.9090909090909091,0.6451612903225806,10,10,1,20
7,31,0,0,zscore,0.97,0.33818495124650116,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
13,21,0,0,zscore,0.97,0.47833571015917603,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
13,27,0,0,zscore,0.97,0.5334075415271237,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
11,31,0,0,zscore,0.97,0.5205061757521908,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
11,51,0,0,zscore,0.97,0.674156413446017,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
9,31,0,0,zscore,0.97,0.4348607629325266,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
7,27,0,0,zscore,0.97,0.3253673264987042,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
13,31,0,0,zscore,0.97,0.5744962815339529,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
11,21,0,0,zscore,0.97,0.4402204667206255,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
11,27,0,0,zscore,0.97,0.45765732820484595,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
13,41,0,0,zscore,0.97,0.6778075134078901,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
9,41,0,0,zscore,0.97,0.504895627839683,0.5333333333333333,0.7272727272727273,0.6153846153846153,8,7,3,15
11,27,0,0,zscore,0.95,0.17203635641297785,0.44,1.0,0.6111111111111112,11,14,0,25
7,21,0,0,zscore,0.95,0.11850922244306733,0.44,1.0,0.6111111111111112,11,14,0,25
9,21,0,0,zscore,0.95,0.14291192300172614,0.44,1.0,0.6111111111111112,11,14,0,25
9,27,0,0,zscore,0.95,0.18297957463020723,0.44,1.0,0.6111111111111112,11,14,0,25
11,27,0,0,zscore,0.96,0.3987532881704005,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
13,27,0,0,zscore,0.96,0.3978399077316373,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
9,41,0,0,zscore,0.96,0.4012933344731313,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
11,51,0,0,zscore,0.96,0.5760264635534702,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
9,51,0,0,zscore,0.96,0.45873857132944373,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
13,41,0,0,zscore,0.96,0.55424373009601,0.45,0.8181818181818182,0.5806451612903226,9,11,2,20
