pod,metric,similarity,causality,best_lag,volatility,root_score
cartservice-77f8cfdff-4gflb,memory_rss,0.3548,0.967,1,0.0,0.4981
cartservice-77f8cfdff-4gflb,memory_usage,0.3525,0.9672,1,0.0,0.4971
cartservice-77f8cfdff-4gflb,memory_working_set,0.3525,0.9672,1,0.0,0.4971
cartservice-77f8cfdff-4gflb,memory_cache,0.3406,0.9251,1,0.0,0.477
frontend-fc6b4bb46-wwx7m,memory_usage,0.3146,0.8244,1,0.0,0.4301
frontend-fc6b4bb46-wwx7m,memory_working_set,0.3146,0.8244,1,0.0,0.4301
frontend-fc6b4bb46-wwx7m,memory_rss,0.3112,0.8171,1,0.0,0.426
paymentservice-858d7c66fd-pwd9m,memory_usage,0.3092,0.7646,1,0.0328,0.4133
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.3092,0.7646,1,0.0328,0.4133
paymentservice-858d7c66fd-pwd9m,memory_rss,0.3087,0.7624,1,0.0328,0.4123
checkoutservice-5fcbc94d48-c8mxz,memory_rss,0.2883,0.7326,1,0.0,0.3862
checkoutservice-5fcbc94d48-c8mxz,memory_usage,0.2739,0.698,1,0.0,0.3676
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.2739,0.698,1,0.0,0.3676
adservice-7c8b9f944-b7rfw,memory_rss,0.2107,0.3484,1,0.0164,0.22
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.1142,0.4221,5,0.0492,0.209
productcatalogservice-59867cb94d-gjfzt,memory_rss,0.1545,0.3394,5,0.0492,0.1981
adservice-7c8b9f944-b7rfw,memory_working_set,0.1961,0.255,1,0.0656,0.1906
adservice-7c8b9f944-b7rfw,memory_usage,0.1961,0.255,1,0.0656,0.1906
adservice-7c8b9f944-b7rfw,thread_count,0.1202,0.325,3,0.0656,0.1809
frontend-fc6b4bb46-wwx7m,cpu_usage,0.0501,0.4026,4,0.0656,0.1766
adservice-7c8b9f944-b7rfw,cpu_usage,0.0879,0.2941,5,0.0492,0.1523
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.1048,0.2621,5,0.0328,0.1455
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.116,0.2085,5,0.0492,0.135
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0861,0.2259,5,0.0492,0.1276
emailservice-5c4564f4db-c9pjv,memory_usage,0.0861,0.2259,5,0.0492,0.1276
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.0916,0.1885,3,0.0492,0.117
emailservice-5c4564f4db-c9pjv,memory_rss,0.0762,0.2309,4,0.0,0.1151
cartservice-77f8cfdff-4gflb,cpu_usage,0.094,0.1383,1,0.0492,0.1005
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.0528,0.174,5,0.0492,0.0945
redis-cart-6f887989c8-s4r67,cpu_usage,0.0445,0.1094,1,0.1639,0.0911
recommendationservice-9c8dd7cd6-f6x7c,memory_rss,0.0859,0.1211,2,0.0164,0.0843
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.0494,0.1518,2,0.0328,0.0819
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.0761,0.0942,5,0.0492,0.077
emailservice-5c4564f4db-c9pjv,cpu_usage,0.0606,0.0923,1,0.082,0.076
recommendationservice-9c8dd7cd6-f6x7c,cpu_usage,0.0312,0.1158,1,0.0984,0.0742
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.0731,0.1063,2,0.0164,0.0734
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.0731,0.1063,2,0.0164,0.0734
shippingservice-995d6f9c8-428x6,cpu_usage,0.0691,0.0899,1,0.0492,0.0724
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.0665,0.1033,2,0.0164,0.0694
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.0665,0.1033,2,0.0164,0.0694
redis-cart-6f887989c8-s4r67,memory_working_set,0.0748,0.1014,1,0.0,0.0691
redis-cart-6f887989c8-s4r67,memory_usage,0.0748,0.1014,1,0.0,0.0691
cartservice-77f8cfdff-4gflb,thread_count,0.0664,0.0801,5,0.0492,0.0678
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0779,0.0666,1,0.0164,0.0616
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.0779,0.0666,1,0.0164,0.0616
shippingservice-995d6f9c8-428x6,memory_working_set,0.064,0.0868,4,0.0,0.0592
