pod,metric,threshold,precision,recall,f1,anomaly_points
currencyservice-7c5c4ccd64-8zv72,memory_working_set,1.2674800436037268,1.0,0.04918032786885246,0.09375,3
redis-cart-6f887989c8-s4r67,memory_working_set,2.480396378576151,1.0,0.04918032786885246,0.09375,3
frontend-fc6b4bb46-wwx7m,memory_working_set,1.9628559091069324,0.6666666666666666,0.03278688524590164,0.0625,3
shippingservice-995d6f9c8-428x6,memory_working_set,0.3366107996723485,0.6666666666666666,0.03278688524590164,0.0625,3
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.050790113518170754,0.6666666666666666,0.03278688524590164,0.0625,3
emailservice-5c4564f4db-c9pjv,memory_working_set,2.47371184637975,0.6666666666666666,0.03278688524590164,0.0625,3
adservice-7c8b9f944-b7rfw,memory_working_set,0.9371203718833868,0.3333333333333333,0.01639344262295082,0.03125,3
cartservice-77f8cfdff-4gflb,memory_working_set,2.1636703737584524,0.3333333333333333,0.01639344262295082,0.03125,3
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.9974034475597567,0.0,0.0,0.0,3
paymentservice-858d7c66fd-pwd9m,memory_working_set,1.1544938160596476,0.0,0.0,0.0,3
productcatalogservice-59867cb94d-gjfzt,memory_working_set,0.09706811695619794,0.0,0.0,0.0,3
