pod,metric,threshold,precision,recall,f1,anomaly_points
cartservice-77f8cfdff-4gflb,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
checkoutservice-5fcbc94d48-c8mxz,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
currencyservice-7c5c4ccd64-8zv72,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
productcatalogservice-59867cb94d-gjfzt,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
emailservice-5c4564f4db-c9pjv,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
frontend-fc6b4bb46-wwx7m,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
paymentservice-858d7c66fd-pwd9m,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
shippingservice-995d6f9c8-428x6,pod_memory_request,5.451665102709556e-05,0.6666666666666666,0.03278688524590164,0.0625,3
redis-cart-6f887989c8-s4r67,pod_memory_request,6.227664152409288e-05,0.6666666666666666,0.03278688524590164,0.0625,3
recommendationservice-9c8dd7cd6-f6x7c,pod_memory_request,8.394567079094298e-05,0.3333333333333333,0.01639344262295082,0.03125,3
adservice-7c8b9f944-b7rfw,pod_memory_request,5.002255818937594e-05,0.0,0.0,0.0,3
