alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.7,0.03971694,0.171429,0.104167,0.483871,15,129,16
0.0,1.0,0.8,0.04213094,0.220472,0.145833,0.451613,14,82,17
0.0,1.0,0.85,0.04549854,0.23301,0.166667,0.387097,12,60,19
0.0,1.0,0.9,0.04644695,0.278481,0.229167,0.354839,11,37,20
0.0,1.0,0.92,0.0479365,0.314286,0.282051,0.354839,11,28,20
0.0,1.0,0.94,0.05004515,0.333333,0.344828,0.322581,10,19,21
0.0,1.0,0.96,0.05150978,0.392157,0.5,0.322581,10,10,21
0.0,1.0,0.98,0.05387624,0.390244,0.8,0.258065,8,2,23
0.0,1.0,0.99,0.06585048,0.277778,1.0,0.16129,5,0,26
0.1,0.9,0.7,0.03963664,0.171429,0.104167,0.483871,15,129,16
0.1,0.9,0.8,0.04204474,0.204724,0.135417,0.419355,13,83,18
0.1,0.9,0.85,0.04541118,0.23301,0.166667,0.387097,12,60,19
0.1,0.9,0.9,0.04632832,0.278481,0.229167,0.354839,11,37,20
0.1,0.9,0.92,0.0478559,0.314286,0.282051,0.354839,11,28,20
0.1,0.9,0.94,0.04978492,0.333333,0.344828,0.322581,10,19,21
0.1,0.9,0.96,0.0514406,0.392157,0.5,0.322581,10,10,21
0.1,0.9,0.98,0.05399318,0.390244,0.8,0.258065,8,2,23
0.1,0.9,0.99,0.06568682,0.277778,1.0,0.16129,5,0,26
0.3,0.7,0.7,0.03947557,0.171429,0.104167,0.483871,15,129,16
0.3,0.7,0.8,0.04187733,0.204724,0.135417,0.419355,13,83,18
0.3,0.7,0.85,0.04520802,0.213592,0.152778,0.354839,11,61,20
0.3,0.7,0.9,0.04609158,0.278481,0.229167,0.354839,11,37,20
0.3,0.7,0.92,0.04769471,0.314286,0.282051,0.354839,11,28,20
0.3,0.7,0.94,0.04930025,0.333333,0.344828,0.322581,10,19,21
0.3,0.7,0.96,0.05163184,0.352941,0.45,0.290323,9,11,22
0.3,0.7,0.98,0.05481364,0.390244,0.8,0.258065,8,2,23
0.3,0.7,0.99,0.06535946,0.277778,1.0,0.16129,5,0,26
0.5,0.5,0.7,0.03931086,0.16,0.097222,0.451613,14,130,17
0.5,0.5,0.8,0.04166826,0.204724,0.135417,0.419355,13,83,18
0.5,0.5,0.85,0.04483969,0.213592,0.152778,0.354839,11,61,20
0.5,0.5,0.9,0.04585983,0.278481,0.229167,0.354839,11,37,20
0.5,0.5,0.92,0.04753351,0.314286,0.282051,0.354839,11,28,20
0.5,0.5,0.94,0.04872556,0.366667,0.37931,0.354839,11,18,20
0.5,0.5,0.96,0.05108054,0.352941,0.45,0.290323,9,11,22
0.5,0.5,0.98,0.05570434,0.390244,0.8,0.258065,8,2,23
0.5,0.5,0.99,0.06503212,0.277778,1.0,0.16129,5,0,26
0.7,0.30000000000000004,0.7,0.03913017,0.16,0.097222,0.451613,14,130,17
0.7,0.30000000000000004,0.8,0.04146718,0.204724,0.135417,0.419355,13,83,18
0.7,0.30000000000000004,0.85,0.04444837,0.213592,0.152778,0.354839,11,61,20
0.7,0.30000000000000004,0.9,0.04570254,0.278481,0.229167,0.354839,11,37,20
0.7,0.30000000000000004,0.92,0.04713256,0.314286,0.282051,0.354839,11,28,20
0.7,0.30000000000000004,0.94,0.04845811,0.366667,0.37931,0.354839,11,18,20
0.7,0.30000000000000004,0.96,0.05052924,0.352941,0.45,0.290323,9,11,22
0.7,0.30000000000000004,0.98,0.05659504,0.390244,0.8,0.258065,8,2,23
0.7,0.30000000000000004,0.99,0.06470478,0.277778,1.0,0.16129,5,0,26
0.9,0.09999999999999998,0.7,0.03895101,0.16,0.097222,0.451613,14,130,17
0.9,0.09999999999999998,0.8,0.04129394,0.204724,0.135417,0.419355,13,83,18
0.9,0.09999999999999998,0.85,0.04408066,0.213592,0.152778,0.354839,11,61,20
0.9,0.09999999999999998,0.9,0.04539491,0.278481,0.229167,0.354839,11,37,20
0.9,0.09999999999999998,0.92,0.04692664,0.314286,0.282051,0.354839,11,28,20
0.9,0.09999999999999998,0.94,0.04805783,0.366667,0.37931,0.354839,11,18,20
0.9,0.09999999999999998,0.96,0.04998673,0.392157,0.5,0.322581,10,10,21
0.9,0.09999999999999998,0.98,0.0574648,0.390244,0.8,0.258065,8,2,23
0.9,0.09999999999999998,0.99,0.06437744,0.277778,1.0,0.16129,5,0,26
1.0,0.0,0.7,0.03886217,0.16,0.097222,0.451613,14,130,17
1.0,0.0,0.8,0.04120734,0.204724,0.135417,0.419355,13,83,18
1.0,0.0,0.85,0.04385244,0.213592,0.152778,0.354839,11,61,20
1.0,0.0,0.9,0.04530257,0.278481,0.229167,0.354839,11,37,20
1.0,0.0,0.92,0.04682369,0.314286,0.282051,0.354839,11,28,20
1.0,0.0,0.94,0.04778325,0.366667,0.37931,0.354839,11,18,20
1.0,0.0,0.96,0.04976565,0.392157,0.5,0.322581,10,10,21
1.0,0.0,0.98,0.05764013,0.341463,0.7,0.225806,7,3,24
1.0,0.0,0.99,0.06421377,0.277778,1.0,0.16129,5,0,26
