alpha,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,0.7,0.16895822,0.022989,0.013793,0.068966,2,143,27
0.0,0.8,0.16939406,0.031746,0.020619,0.068966,2,95,27
0.0,0.85,0.16974548,0.039216,0.027397,0.068966,2,71,27
0.0,0.9,0.1702644,0.051282,0.040816,0.068966,2,47,27
0.0,0.92,0.1706346,0.058824,0.051282,0.068966,2,37,27
0.0,0.94,0.17097943,0.068966,0.068966,0.068966,2,27,27
0.0,0.96,0.17132016,0.081633,0.1,0.068966,2,18,27
0.0,0.97,0.1716903,0.090909,0.133333,0.068966,2,13,27
0.0,0.98,0.17217007,0.051282,0.1,0.034483,1,9,28
0.0,0.99,0.17295729,0.057143,0.166667,0.034483,1,5,28
0.1,0.7,0.17355295,0.011494,0.006897,0.034483,1,144,28
0.1,0.8,0.17400382,0.015873,0.010309,0.034483,1,96,28
0.1,0.85,0.1743572,0.019608,0.013699,0.034483,1,72,28
0.1,0.9,0.17487776,0.025641,0.020408,0.034483,1,48,28
0.1,0.92,0.17522585,0.029412,0.025641,0.034483,1,38,28
0.1,0.94,0.1756695,0.034483,0.034483,0.034483,1,28,28
0.1,0.96,0.1759507,0.04,0.047619,0.034483,1,20,28
0.1,0.97,0.17629212,0.045455,0.066667,0.034483,1,14,28
0.1,0.98,0.1768421,0.051282,0.1,0.034483,1,9,28
0.1,0.99,0.17765497,0.057143,0.166667,0.034483,1,5,28
0.2,0.7,0.17815298,0.011494,0.006897,0.034483,1,144,28
0.2,0.8,0.178604,0.015873,0.010309,0.034483,1,96,28
0.2,0.85,0.17900288,0.019608,0.013699,0.034483,1,72,28
0.2,0.9,0.17953582,0.025641,0.020408,0.034483,1,48,28
0.2,0.92,0.1798422,0.029412,0.025641,0.034483,1,38,28
0.2,0.94,0.18034242,0.033898,0.033333,0.034483,1,29,28
0.2,0.96,0.1806078,0.04,0.047619,0.034483,1,20,28
0.2,0.97,0.18096095,0.045455,0.066667,0.034483,1,14,28
0.2,0.98,0.18151416,0.051282,0.1,0.034483,1,9,28
0.2,0.99,0.18235265,0.057143,0.166667,0.034483,1,5,28
0.3,0.7,0.1827557,0.011494,0.006897,0.034483,1,144,28
0.3,0.8,0.18319789,0.015873,0.010309,0.034483,1,96,28
0.3,0.85,0.18361033,0.019608,0.013699,0.034483,1,72,28
0.3,0.9,0.18417151,0.025641,0.020408,0.034483,1,48,28
0.3,0.92,0.18446894,0.029412,0.025641,0.034483,1,38,28
0.3,0.94,0.18499333,0.033898,0.033333,0.034483,1,29,28
0.3,0.96,0.18526489,0.04,0.047619,0.034483,1,20,28
0.3,0.97,0.18563192,0.045455,0.066667,0.034483,1,14,28
0.3,0.98,0.18618618,0.051282,0.1,0.034483,1,9,28
0.3,0.99,0.18705031,0.057143,0.166667,0.034483,1,5,28
0.5,0.7,0.19191708,0.011494,0.006897,0.034483,1,144,28
0.5,0.8,0.1924299,0.015873,0.010309,0.034483,1,96,28
0.5,0.85,0.19286107,0.019417,0.013514,0.034483,1,73,28
0.5,0.9,0.19343042,0.025641,0.020408,0.034483,1,48,28
0.5,0.92,0.19375154,0.029412,0.025641,0.034483,1,38,28
0.5,0.94,0.1942951,0.033898,0.033333,0.034483,1,29,28
0.5,0.96,0.19458403,0.040816,0.05,0.034483,1,19,28
0.5,0.97,0.19497383,0.045455,0.066667,0.034483,1,14,28
0.5,0.98,0.19551899,0.051282,0.1,0.034483,1,9,28
0.5,0.99,0.19644567,0.057143,0.166667,0.034483,1,5,28
0.7,0.7,0.20112084,0.011494,0.006897,0.034483,1,144,28
0.7,0.8,0.20167597,0.015873,0.010309,0.034483,1,96,28
0.7,0.85,0.20214161,0.019608,0.013699,0.034483,1,72,28
0.7,0.9,0.20270813,0.025316,0.02,0.034483,1,49,28
0.7,0.92,0.20305158,0.029412,0.025641,0.034483,1,38,28
0.7,0.94,0.20361048,0.034483,0.034483,0.034483,1,28,28
0.7,0.96,0.20391063,0.040816,0.05,0.034483,1,19,28
0.7,0.97,0.20440061,0.045455,0.066667,0.034483,1,14,28
0.7,0.98,0.20480631,0.051282,0.1,0.034483,1,9,28
0.7,0.99,0.20584103,0.057143,0.166667,0.034483,1,5,28
0.9,0.7,0.21027936,0.0,0.0,0.0,0,145,29
0.9,0.8,0.21090803,0.0,0.0,0.0,0,97,29
0.9,0.85,0.21136142,0.0,0.0,0.0,0,73,29
0.9,0.9,0.21192835,0.0,0.0,0.0,0,49,29
0.9,0.92,0.21231778,0.0,0.0,0.0,0,39,29
0.9,0.94,0.21289866,0.0,0.0,0.0,0,30,29
0.9,0.96,0.2132075,0.0,0.0,0.0,0,21,29
0.9,0.97,0.21365765,0.0,0.0,0.0,0,15,29
0.9,0.98,0.21395734,0.0,0.0,0.0,0,10,29
0.9,0.99,0.21498746,0.0,0.0,0.0,0,5,29
1.0,0.7,0.2148735,0.0,0.0,0.0,0,145,29
1.0,0.8,0.21549714,0.0,0.0,0.0,0,97,29
1.0,0.85,0.215958,0.0,0.0,0.0,0,74,29
1.0,0.9,0.21660379,0.0,0.0,0.0,0,49,29
1.0,0.92,0.21697448,0.0,0.0,0.0,0,39,29
1.0,0.94,0.21754956,0.0,0.0,0.0,0,30,29
1.0,0.96,0.2178646,0.0,0.0,0.0,0,21,29
1.0,0.97,0.21832573,0.0,0.0,0.0,0,15,29
1.0,0.98,0.21868798,0.0,0.0,0.0,0,10,29
1.0,0.99,0.21969368,0.0,0.0,0.0,0,5,29
